#clustering method	cluster number	cluster color	hex color	gene count	primary description	secondary description	tertiary description	protein names
kmeans	1	Red	#ff0000	22	-	-	-	J9JPH9_ACYPI, J9K3U4_ACYPI, J9LIK7_ACYPI, Ckiibeta, J9JVA7_ACYPI, J9JW15_ACYPI, J9JPF5_ACYPI, J9JP34_ACYPI, J9JTH4_ACYPI, J9K4Y7_ACYPI, ACYPI009520, J9JKD4_ACYPI, J9JP51_ACYPI, J9JZJ5_ACYPI, Cdk5, J9K8T4_ACYPI, J9K871_ACYPI, Usp, J9JSB6_ACYPI, X1WIH6_ACYPI, ACYPI003417, J9K7M8_ACYPI
kmeans	2	Green	#a3ff65	14	Class A/1 (Rhodopsin-like receptors)	-	-	J9JQH0_ACYPI, J9K6V2_ACYPI, J9JKN7_ACYPI, J9LZA2_ACYPI, J9K4G2_ACYPI, J9K3K8_ACYPI, J9JJY9_ACYPI, J9K7T1_ACYPI, J9KKD5_ACYPI, J9KNV9_ACYPI, J9JLB3_ACYPI, X1XTW2_ACYPI, J9K8L6_ACYPI, J9JNJ5_ACYPI
kmeans	3	Blue	#008eb2	2	-	-	-	J9JLH1_ACYPI, ACYPI009796
